2a06:5b00:902:a800:3d17:f411:a100:13a6		21-06-2023 21:49:27	Galaxy A52s      		/prod.php?id=15	
2a06:5b00:902:a800:3d17:f411:a100:13a6		21-06-2023 22:09:07	Galaxy S20FE     	123456	/prod.php?id=16	
2a06:5b00:902:a800:3d17:f411:a100:13a6		21-06-2023 22:09:16	Galaxy S20FE     	123456	/prod.php?id=16	
2a06:5b00:902:a800:3d17:f411:a100:13a6		21-06-2023 23:52:59	Galaxy S20FE     	123456	/prod.php?id=16	
		21-06-2023 23:53:51	Galaxy S20FE     	123456	/prod.php?id=16	
2a06:5b00:902:a800:3d17:f411:a100:13a6		21-06-2023 23:56:20	Galaxy S20FE     	123456	/prod.php?id=16	
2a06:5b00:902:a800:3d17:f411:a100:13a6		21-06-2023 23:58:07	Galaxy A52s      	123456	/prod.php?id=15	
2a06:5b00:902:a800:3d17:f411:a100:13a6	21-06-2023 23:58:54		123456	
127.0.0.1	03-07-2023 20:21:26	Galaxy S20FE     		
127.0.0.1	03-07-2023 20:23:36	Galaxy S20FE     		
127.0.0.1	03-07-2023 20:23:39	Galaxy S20FE     		
127.0.0.1	03-07-2023 20:24:04	Galaxy A52s      		
127.0.0.1	03-07-2023 20:24:18	Galaxy A52s      		
127.0.0.1	03-07-2023 20:26:14	Galaxy A52s      		
127.0.0.1	03-07-2023 20:26:22	Galaxy A52s      		
127.0.0.1	03-07-2023 20:26:25	Galaxy A52s      		
127.0.0.1	03-07-2023 20:26:37	Galaxy A52s      		
127.0.0.1	03-07-2023 20:27:22	Galaxy A52s      		
127.0.0.1	03-07-2023 20:28:43	Galaxy S20FE     	IgorJ	
127.0.0.1	03-07-2023 20:28:49	Galaxy S20FE     	IgorJ	
127.0.0.1	03-07-2023 20:44:36	Galaxy Z Fold   	IgorJ	
127.0.0.1	03-07-2023 20:44:42	Galaxy Z Fold   	IgorJ	
127.0.0.1	03-07-2023 20:49:05	Iphone 12    	KorisnikK	
127.0.0.1	03-07-2023 20:49:17	Iphone 12    	KorisnikK	
127.0.0.1	03-07-2023 20:50:09	Galaxy S20FE     	KorisnikK	
127.0.0.1	03-07-2023 20:50:26	Galaxy S20FE     		
127.0.0.1	03-07-2023 20:50:30	Galaxy S20FE     		
127.0.0.1	03-07-2023 20:50:33	Galaxy S20FE     		
127.0.0.1	03-07-2023 20:53:15	Galaxy S20FE     		
127.0.0.1	03-07-2023 20:53:19	Galaxy S20FE     		
127.0.0.1	03-07-2023 20:53:33	Galaxy A52s      		
127.0.0.1	03-07-2023 20:53:36	Galaxy A52s      		
127.0.0.1	03-07-2023 20:54:36	Galaxy A52s      		
127.0.0.1	03-07-2023 20:54:38	Galaxy A52s      		
127.0.0.1	03-07-2023 20:54:40	Galaxy A52s      		
127.0.0.1	03-07-2023 20:54:42	Galaxy A52s      		
127.0.0.1	03-07-2023 20:54:53	Galaxy S20FE     		
127.0.0.1	03-07-2023 20:54:56	Galaxy S20FE     		
127.0.0.1	03-07-2023 20:54:58	Galaxy S20FE     		
127.0.0.1	03-07-2023 21:42:01	Galaxy Z Fold   	IgorJ	
127.0.0.1	03-07-2023 21:42:03	Galaxy Z Fold   	IgorJ	
127.0.0.1	03-07-2023 21:42:10	Galaxy S20FE     	IgorJ	
127.0.0.1	03-07-2023 21:42:44	Galaxy S20FE     	IgorJ	
127.0.0.1	03-07-2023 21:42:56	Galaxy S20FE     	IgorJ	
127.0.0.1	03-07-2023 21:45:01	Galaxy A52s      	IgorJ	
127.0.0.1	03-07-2023 21:45:35	Galaxy A52s      	IgorJ	
127.0.0.1	03-07-2023 21:45:38	Galaxy A52s      	IgorJ	
127.0.0.1	03-07-2023 21:45:57	Galaxy A52s      	IgorJ	
